Line Number,Action,Status,ErrorCode,ErrorMessage,WarningCode,WarningMessage,Code,Message,ItemID,ReferenceID,ApplicationData,StartTime,EndTime,AuctionLengthFee,BoldFee,BorderFee,BuyItNowFee,CategoryFeaturedFee,CurrencyID,FeaturedFee,FeaturedGalleryFee,FixedPriceDurationFee,GalleryFee,GiftIconFee,HighlightFee,InsertionFee,InternationalInsertionFee,ListingDesignerFee,ListingFee,PhotoDisplayFee,PhotoFee,ProPackBundleFee,ReserveFee,SchedulingFee,SubtitleFee,CustomLabel,PrivateNotes,BasicUpgradePackBundleFee,ValuePackBundleFee,ProPackPlusBundleFee,SellerInventoryID,CrossBorderTradeNorthAmericaFee,CrossBorderTradeGBFee,RefundFromSeller,TotalRefundToBuyer,CorrelationID
770,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306890951007,,,2026-04-19T21:11:40.000Z,2026-08-19T21:11:40.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306890950925,,,2026-04-19T21:11:36.000Z,2026-08-19T21:11:36.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306890950940,,,2026-04-19T21:11:37.000Z,2026-08-19T21:11:37.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306890950974,,,2026-04-19T21:11:38.000Z,2026-08-19T21:11:38.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306890950975,,,2026-04-19T21:11:37.000Z,2026-08-19T21:11:37.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306890951001,,,2026-04-19T21:11:39.000Z,2026-08-19T21:11:39.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306890950924,,,2026-04-19T21:11:37.000Z,2026-08-19T21:11:37.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306890950909,,,2026-04-19T21:11:37.000Z,2026-08-19T21:11:37.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306890950908,,,2026-04-19T21:11:36.000Z,2026-08-19T21:11:36.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306890950916,,,2026-04-19T21:11:36.000Z,2026-08-19T21:11:36.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306890950915,,,2026-04-19T21:11:36.000Z,2026-08-19T21:11:36.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306890950898,,,2026-04-19T21:11:36.000Z,2026-08-19T21:11:36.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306890950899,,,2026-04-19T21:11:36.000Z,2026-08-19T21:11:36.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306890950907,,,2026-04-19T21:11:36.000Z,2026-08-19T21:11:36.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306890950906,,,2026-04-19T21:11:36.000Z,2026-08-19T21:11:36.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306890950902,,,2026-04-19T21:11:36.000Z,2026-08-19T21:11:36.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306890950884,,,2026-04-19T21:11:36.000Z,2026-08-19T21:11:36.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306890950891,,,2026-04-19T21:11:36.000Z,2026-08-19T21:11:36.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
